,title,year,budget,director,actor,companies,genres,plot_keywords,genresOneHot,language,country,score
697,Man on Fire,2004.0,0.3497886813214295,0.652,0.694,0.615,0.639,mexico|cia|kidnapping|diary|bible|bodyguard|stuffed animal|cell phone|alcoholic|grenade launcher|bloodshed|swim meet,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,7.3
698,The Shaggy Dog,2006.0,0.1830672112885258,0.545,0.595,0.575,0.621,father son relationship|parents kids relationship|workaholic|wife husband relationship|transformation|body exchange|daughter|lawyer|dog|family|turns into animal,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.5
699,Starsky & Hutch,2004.0,0.2997724260384625,0.619,0.583,0.6,0.632,informant|jumping from a rooftop|surveillance footage,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.6
700,Jingle All the Way,1996.0,0.5991983967935872,0.515,0.568,0.633,0.621,holiday|christmas party|santa claus|toy|puppet|christmas|turboman|navidad,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
701,Hellboy,2004.0,0.32978217920824265,0.67,0.636,0.62,0.618,black magic|fistfight|cover-up|superhero|paranormal phenomena|narration from grave|demon|occult|combat photography|reanimated corpse|duringcreditsstinger,"[ 1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Pусский,United States of America,6.5
702,A Civil Action,1998.0,0.4997856224096041,0.61,0.616,0.643,0.669,success|advancement|right and justice|leukemia|lawyer|business start-up,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
703,ParaNorman,2012.0,0.22854387656702024,0.67,0.661,0.681,0.631,medium|stop motion|curse|jock|ghost|communicating with the dead|aftercreditsstinger|dealing with the past|witch trial|child witch|empathy|strange,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
704,The Jackal,1997.0,0.2993694324892403,0.573,0.621,0.602,0.628,fbi|cold war|hitman,"[ 1.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
705,Paycheck,2003.0,0.2982456140350877,0.62,0.637,0.615,0.625,prophecy|engineer|scientist|millionaire,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,Canada,5.9
706,The Tale of Despereaux,2008.0,0.26591626996485296,0.58,0.669,0.62,0.636,loyalty|totalitarian regime|mouse|forgiveness|honor|unlikely friendship|courage|chivalry|animal lead,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,5.8
707,Under Siege 2: Dark Territory,1995.0,0.3371757925072046,0.56,0.575,0.585,0.619,terrorist|pentagon|satellite|navy seal|train,"[ 1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.6
708,Jack Ryan: Shadow Recruit,2014.0,0.23710098373820518,0.66,0.66,0.618,0.636,london england|corruption|cia|terrorist|sniper|explosive|intelligence|russia|murder|conspiracy|surveillance|agent|jack ryan|u.s. marine|rehab|analyst,"[ 1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Russia,5.9
709,Joy,2015.0,0.21400500178635226,0.668,0.647,0.625,0.643,factory|inventor|strong woman|biography|based on true story|stolen patent,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",Español,United States of America,6.4
710,London Has Fallen,2016.0,0.22920892494929007,0.58,0.631,0.582,0.629,london england|terrorist|terrorist attack,"[ 1.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Bulgaria,5.8
711,Alien: Resurrection,1997.0,0.34941447302572315,0.686,0.616,0.632,0.609,android|mercenary|dystopia|sequel|alien|betrayal|impalement|cloning|scientist|flamethrower|disembowelment|smuggler|gene manipulation|man in wheelchair|breeding|genetic engineering|regeneration|xenomorph|alien queen|explosive decompression|swimming underwater,"[ 1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
712,Shooter,2007.0,0.20329349800823374,0.667,0.628,0.647,0.639,corruption|sniper|senator|conspiracy of murder|childlessness|rifle|sniper rifle|fbi agent,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,6.9
713,The Boxtrolls,2014.0,0.23710098373820518,0.66,0.659,0.695,0.629,based on novel|stop motion|father daughter relationship|unlikely friendship|duringcreditsstinger,"[ 0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
714,Practical Magic,1998.0,0.5355152208089181,0.535,0.641,0.607,0.634,witch|magic|sorcery|love|curse|family curse,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.3
715,The Lego Movie,2014.0,0.23710098373820518,0.693,0.638,0.662,0.628,father son relationship|creativity|friendship|part live action|toys|based on toy|falling in love|super powers|duringcreditsstinger|different worlds|lego|batman,"[ 0.  1.  1.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.5
716,Reign of Fire,2002.0,0.4265232974910394,0.58,0.637,0.635,0.621,dragon|evolution|fire chief|animated map|theatre audience|dragonslayer|tunnel construction|fire repellent|drilling|iodine,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Ireland,6.0
717,Gangster Squad,2013.0,0.23228346456692914,0.633,0.651,0.637,0.639,los angeles|gangster,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
718,Year One,2009.0,0.23923923923923923,0.611,0.606,0.565,0.621,temple|slavery|stone age|circumcision|hebrews|cavemen|prehistoric adventure|duringcreditsstinger|prehistoric times|prehistoric man,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.6
719,Invictus,2009.0,0.23923923923923923,0.686,0.667,0.659,0.678,stadium|south africa|apartheid|nelson mandela|sport|nation|rugby|president|racism|poverty|celebration|duringcreditsstinger,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.]",English,United States of America,7.0
720,State of Play,2009.0,0.23923923923923923,0.705,0.658,0.64,0.617,corruption|assassination|detective|journalist|assassin|newspaper|congress|editor-in-chief|conspiracy of murder|politics|election campaign|government|murder|thriller|blog|reporter,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",广州话 / 廣州話,France,6.7
721,Duplicity,2009.0,0.3118985065065065,0.607,0.641,0.596,0.636,spy,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,5.7
722,The Sentinel,2006.0,0.22020051986632008,0.58,0.622,0.599,0.629,usa president|agent,"[ 1.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
723,Planet 51,2009.0,0.27927927927927926,0.56,0.577,0.586,0.629,flying saucer|alien life-form|spaceship|alien|alien planet|planet|duringcreditsstinger,"[ 0.  1.  0.  1.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Spain,5.6
724,Star Trek: Nemesis,2002.0,0.4265232974910394,0.595,0.65,0.636,0.622,clone|assassination|ambush|federation|starfleet|enterprise-e|romulus|android|senate|self sacrifice|telepathy|weapon|romulans|space opera,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
725,Intolerable Cruelty,2003.0,0.2982456140350877,0.689,0.605,0.648,0.636,california|assassin|infidelity|fetish|hitman|tycoon|court|satire|lawyer|inheritance|divorce,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",Français,United States of America,5.8
726,Edge of Darkness,2010.0,0.3063583815028902,0.625,0.636,0.659,0.645,murder|violence|death of daughter|homicide detective,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.2
727,The Relic,1997.0,0.2993694324892403,0.56,0.576,0.625,0.617,chicago|based on novel|monster|museum|pile of dead bodies|god|dead body|anthropologist|indian tribe|amazon jungle,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
  0.]",English,Germany,5.8
728,Analyze That,2002.0,0.4265232974910394,0.611,0.65,0.6,0.632,prison|gold|therapist|gangster,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Australia,5.7
729,Righteous Kill,2008.0,0.26591626996485296,0.58,0.613,0.585,0.639,revenge|murder|plot twist|dirty cop,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Pусский,United States of America,5.9
730,Mercury Rising,1998.0,0.4283264256109761,0.603,0.636,0.631,0.639,assassin|loss of family|autism|fbi|bangkok|national security agency (nsa)|boy|child in peril|fbi agent|autistic savant,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
731,The Soloist,2009.0,0.23923923923923923,0.682,0.664,0.646,0.669,newspaper|cello|musical|violin|los angeles,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
732,The Legend of Bagger Vance,2000.0,0.623015873015873,0.652,0.643,0.618,0.643,competition|world war i|great depression|caddy|savannah,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.3
733,Almost Famous,2000.0,0.4642857142857143,0.64,0.662,0.62,0.665,hotel room|san diego|drug addiction|stewardess|overdose|groupie|music journalist|black sabbath|rock|concert|swimming pool|based on true story|promiscuity|coming of age|on the road|domineering mother|reconciliation|semi autobiographical|innocence lost|bus trip|aspiring writer,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.]",English,United States of America,7.4
734,xXx: State of the Union,2005.0,0.28658092695947585,0.578,0.623,0.599,0.637,washington d.c.|helicopter|usa president|general|coup d'etat|military prison|coup|agent|insurgent|secretary of defense|potus,"[ 1.  1.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,4.7
735,Priest,2011.0,0.15773958360750664,0.53,0.592,0.562,0.613,vampire|crucifixion|post-apocalyptic|dystopia|vampire hunter|disobey|niece|dark hero,"[ 1.  0.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",Português,United States of America,5.4
736,Sinbad: Legend of the Seven Seas,2003.0,0.2982456140350877,0.67,0.663,0.659,0.636,prince|water monster,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",广州话 / 廣州話,United States of America,6.6
737,Event Horizon,1997.0,0.2993694324892403,0.581,0.644,0.612,0.616,space marine|nudity|nightmare|hallucination|cryogenics|space travel|black hole|insanity|delusion|crew|alternate dimension|evil spirit|hellgate|religion|explosion|violence|burning man|rescue team|flashback|supernatural power|trapped in space|distress signal|derelict ship,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.5
738,Dragonfly,2002.0,0.4265232974910394,0.614,0.613,0.622,0.669,pregnancy and birth|voice|dragonfly|car crash|jungle|hospital|doctor|humanitarian|spiritism,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,6.1
739,The Black Dahlia,2006.0,0.1830672112885258,0.662,0.635,0.588,0.669,pornography|observer|los angeles|murder hunt,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,France,5.7
740,Flyboys,2006.0,0.22020051986632008,0.63,0.62,0.629,0.656,world war i|biplane,"[ 1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  0.  0.
  0.]",English,United Kingdom,6.3
741,The Last Castle,2001.0,0.5090252707581228,0.625,0.674,0.659,0.636,prison|general,"[ 1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.0
742,Supernova,2000.0,0.7023809523809523,0.54,0.569,0.575,0.61,black people|starships|future|star|supernova|blast,"[ 0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,Switzerland,4.9
743,Winter's Tale,2014.0,0.23710098373820518,0.6,0.626,0.632,0.643,based on novel,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
744,The Mortal Instruments: City of Bones,2013.0,0.23228346456692914,0.56,0.605,0.622,0.636,angel|vampire|werewolf|warlock|downworlder|shadowhunter|demon hunter|based on young adult novel,"[ 1.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
745,Meet Dave,2008.0,0.26591626996485296,0.545,0.567,0.574,0.622,new york|captain|starships|new love|earth|friendship|crew|car crash|space|alien|survival|planet|duringcreditsstinger,"[ 0.  1.  0.  1.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.0
746,Dark Water,2005.0,0.14098519776753216,0.613,0.644,0.582,0.627,"based on novel|water|remake|teacher|divorce|apartment|ghost|manhattan, new york city","[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.3
747,Edtv,1999.0,0.4704013181122749,0.659,0.621,0.631,0.616,tv show|tv station|simulated reality |reality tv|tv star|tv ratings,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.7
748,Inkheart,2008.0,0.26591626996485296,0.642,0.598,0.611,0.624,book|fairy tale|eavesdropping|adventure|writer's block,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,6.0
749,The Spirit,2008.0,0.26591626996485296,0.47,0.611,0.566,0.625,secret identity|robber|mask|frog|based on comic strip|back from the dead,"[ 1.  0.  0.  1.  1.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.7
750,Mortdecai,2015.0,0.21400500178635226,0.613,0.649,0.593,0.621,based on novel|painting|debt|art dealer|stolen painting,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.4
751,In the Name of the King: A Dungeon Siege Tale,2007.0,0.1999599979999,0.357,0.555,0.394,0.633,fictional place|monster|loss of family|new love|hero|love of one's life|magic|fairy tale|villain|kingdom|enchantment|bad power|son|heir to the throne|motherly love|wizardry|revenge|royalty|family|based on video game|medieval,"[ 1.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,4.1
752,Beyond Borders,2003.0,0.17293233082706766,0.625,0.634,0.645,0.658,london england|cia|landmine|love of one's life|cambodia|ethiopia|chechnya|foreign aid,"[ 0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  0.
  0.]",English,Germany,6.7
753,Deadpool,2016.0,0.2210953346855984,0.74,0.666,0.667,0.62,anti hero|mercenary|marvel comic|superhero|based on comic book|breaking the fourth wall|aftercreditsstinger|duringcreditsstinger|self healing,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.4
754,Holy Man,1998.0,0.4283264256109761,0.585,0.581,0.584,0.643,salesclerk|television|tv ratings|guru|television producer,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.9
755,American Sniper,2014.0,0.2322826741618149,0.686,0.685,0.679,0.655,sniper|biography|iraq|navy seal|u.s. soldier,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.]",English,United States of America,7.4
756,Goosebumps,2015.0,0.20685959271168275,0.555,0.612,0.611,0.611,based on novel|magic|fantasy|werewolf|family|ventriloquist dummy|book comes to life|3d,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,Australia,6.2
757,Just Like Heaven,2005.0,0.2768745450133463,0.628,0.653,0.666,0.626,coma|based on novel|workaholic|flirt|architect|romantic comedy|ghost|landscape architect,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.5
758,The Flintstones in Viva Rock Vegas,2000.0,0.6468253968253969,0.515,0.544,0.649,0.627,waitress|marriage proposal|flirt|stone age|best friend|dinosaur,"[ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.4
759,Rambo III,1988.0,1.0,0.57,0.606,0.633,0.64,competition|submachine gun|soviet union|liberation|russian|soviet troops|thailand|freedom fighter|afghanistan|war on freedom|machinegun|mujahid|reality show|western|japanese food|soap opera,"[ 1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.]",English,United States of America,5.7
760,Leatherheads,2008.0,0.25701828535836635,0.628,0.627,0.617,0.643,american football|sports team|stadium|hero|success|sponsorship|police|games|coach|woman reporter|the big game,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,5.7
761,The Ridiculous 6,2015.0,0.21400500178635226,0.573,0.585,0.56,0.647,wild west,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.9
762,Did You Hear About the Morgans?,2009.0,0.23123123123123124,0.573,0.617,0.593,0.616,witness protection|comedy|duringcreditsstinger,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.1
763,The Internship,2013.0,0.22440944881889763,0.603,0.599,0.607,0.616,job interview|loss of job|intern|reference to google|new job|laid off|transamerica pyramid,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
764,Resident Evil: Afterlife,2010.0,0.22928709055876687,0.581,0.589,0.623,0.613,post-apocalyptic|dystopia|undead|biohazard|evil corporation|resident evil|zombie|based on video game|duringcreditsstinger|3d,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,Germany,5.8
765,Red Tails,2012.0,0.22082931533269046,0.59,0.629,0.638,0.659,world war ii|fighter pilot|fighter plane,"[ 1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.
  0.]",English,United States of America,5.9
766,The Devil's Advocate,1997.0,0.2843559203282955,0.676,0.653,0.64,0.63,"child abuse|southern usa|obsession|subway|nudity|bible|seduction|hallucination|ambition|devil's son|marriage crisis|pact with the devil|crooked lawyer|evil spirit|satan|religion|lust|courtroom|temptation|law firm|manhattan, new york city|seven deadly sins|ethics|gainesville florida","[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
  0.]",English,Germany,7.2
767,That's My Boy,2012.0,0.26711668273866923,0.585,0.588,0.598,0.616,deadbeat dad|cheating fiancée|teacher student sex|brother sister incest,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
768,DragonHeart,1996.0,0.5691382765531062,0.552,0.63,0.633,0.618,magic|kingdom|despot|immortality|village|forest|army|horror|partner|revenge|knight|battle|medieval|dragonheart,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
769,After the Sunset,2004.0,0.2997724260384625,0.617,0.627,0.609,0.638,bahamas|master thief|crook couple,"[ 1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
770,Ghost Rider: Spirit of Vengeance,2011.0,0.14984339220382703,0.57,0.574,0.579,0.619,monk|eastern europe|skeleton|biker|marvel comic|superhero|motorcycle|devil|dark hero|ghost rider,"[ 1.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Arab Emirates,4.7
771,Captain Corelli's Mandolin,2001.0,0.4007220216606498,0.636,0.616,0.653,0.667,officer|greek island|mandolin|italian soldier|resistance fighter|greek history|italian army|allied forces,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.
  0.]",English,United Kingdom,5.5
772,The Pacifier,2005.0,0.2671681630672167,0.604,0.608,0.629,0.63,bodybuilder|children|body guard|scientist|family|u.s. soldier|death of husband|male nanny,"[ 1.  0.  0.  0.  0.  1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,5.8
773,Walking Tall,2004.0,0.2797659239252757,0.6,0.561,0.599,0.634,casino|sheriff|home|violence|special forces|ex soldier,"[ 1.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
774,Forrest Gump,1994.0,0.47813834552460144,0.692,0.673,0.636,0.643,vietnam veteran|hippie|mentally disabled|running|based on novel|vietnam|vietnam war|friendship|love|family relationships|bully|mother son relationship|military|hugging|shrimping|wounded soldier|flashback|park bench|amputee,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,8.2
775,Alvin and the Chipmunks,2007.0,0.1999599979999,0.55,0.566,0.592,0.635,pop|pop star|record producer|surprise|approach|forest|music|concert|friendship|performance|chipmunk|talking animal|songwriter|talking to animals|duringcreditsstinger,"[ 0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  1.  0.
  0.]",English,United States of America,5.5
776,Meet the Parents,2000.0,0.4246031746031746,0.613,0.624,0.641,0.63,cia|airport|cat|jew|orderly|airplane|father-in-law|epistaxis|daughter|lost baggage|urn|pavilion|volleyball|hospital|wedding,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
777,Pocahontas,1995.0,0.30835734870317005,0.67,0.663,0.664,0.644,culture clash|settler|forbidden love|colony|musical|gold rush|princess|romance|native american|animation|virginia|star crossed lovers|reference to pizarro|jamestown virginia|pug dog|cross cultural relationship|musket|animate tree|indian chief|based on folk tale|17th century|shamanism|songs|indians vs. settlers|animal sidekick|powhatan|land claim,"[ 0.  1.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
778,Superman,1978.0,1.0,0.641,0.618,0.646,0.621,saving the world|journalist|dc comics|crime fighter|nuclear missile|galaxy|superhero|based on comic book|criminal|sabotage|north pole|midwest|kryptonite|super powers|superhuman strength|aftercreditsstinger|save the day,"[ 1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.9
779,The Nutty Professor,1996.0,0.5390781563126252,0.614,0.586,0.631,0.625,overweight|overweight man|duringcreditsstinger,"[ 0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.4
780,Hitch,2005.0,0.33511283669012376,0.608,0.598,0.644,0.643,speed date|romantic comedy|dating,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
781,George of the Jungle,1997.0,0.2743469122209989,0.54,0.588,0.613,0.628,africa|san francisco|gorilla|lion|feral child|jungle,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.4
782,American Wedding,2003.0,0.2731829573934837,0.597,0.558,0.607,0.63,handcuffs|sister sister relationship|spanner|blow job|stag night|wedding,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
783,Captain Phillips,2013.0,0.2125984251968504,0.688,0.694,0.624,0.636,ship|hijacking|somalia|fisherman|blood|poverty|pirate|terrorism|commando|hijack|cargo ship|ship captain|ship hijacking|somali|commando unit,"[ 1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.6
784,Date Night,2010.0,0.21001926782273603,0.603,0.623,0.611,0.616,date|corruption|taxi|expensive restaurant|wife husband relationship|gun|boat|taxi driver|document|restaurant|roof|married couple|politician|stripper|shooting|thief|car crash|stealing|mistaken identity|police corruption|aftercreditsstinger|duringcreditsstinger,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",עִבְרִית,United States of America,5.9
785,Casper,1995.0,0.27953890489913547,0.59,0.634,0.632,0.62,halloween|friendship|supernatural|afterlife|friends|danger|ghost|disorder|young heroes|imaginary|supernatural ability|mischievous children,"[ 0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
